s,time_index,shell_index,compared_output
09,0,0,2.3108481381439456
09,0,1,0.5814305018078543
09,0,2,0.050683086570005746
09,0,3,0.0017036766773857114
09,0,4,8.8916132602292e-05
09,0,5,9.43896158703265e-06
09,0,6,8.936294824234159e-06
alpha,6,0,4.645413791243776
alpha,6,1,8.05326231296608
alpha,6,2,2.7298489010535834
alpha,6,3,3.870640088879594
alpha,6,4,4.6587657944448635
alpha,6,5,0.9036716022599095
alpha,6,6,0.0018293274518357337
01,9,0,2.2390538377935254
01,9,1,3.378996573567883
01,9,2,1.6413514447336974
01,9,3,1.770641530614396
01,9,4,1.6863756423348133
01,9,5,0.2324722851620306
01,9,6,0.0006047038576038863
