s,time_index,shell_index,compared_output
09,0,0,2.5551394716088764
09,0,1,0.6223424163647878
09,0,2,0.05556378678082485
09,0,3,0.002500483185868116
09,0,4,9.265806411439717e-05
09,0,5,1.0444278405188692e-05
09,0,6,9.271391315394859e-06
alpha,6,0,5.280329636953768
alpha,6,1,8.310302918822678
alpha,6,2,2.5120749349215594
alpha,6,3,4.0133658657646025
alpha,6,4,4.753596390524102
alpha,6,5,0.9903831762291784
alpha,6,6,0.0019231224095412538
01,9,0,2.4720108397645792
01,9,1,3.581217439088727
01,9,2,1.7362056407289177
01,9,3,1.8057871550741578
01,9,4,1.7543772230816816
01,9,5,0.24978573069410914
01,9,6,0.0007036413104469269
