s,time_index,shell_index,compared_output
09,0,0,0.9378973772386645
09,0,1,0.11358316256046137
09,0,2,0.01734747510071835
09,0,3,0.000895081836274111
09,0,4,2.6557558840649026e-05
09,0,5,1.0220890146882533e-05
09,0,6,1.0751482286325296e-05
alpha,6,0,1.068364936081602
alpha,6,1,1.4248180081768311
alpha,6,2,0.5407554984351743
alpha,6,3,0.975820627070828
alpha,6,4,1.2777426395491707
alpha,6,5,0.11285736773582114
alpha,6,6,0.000708219716219814
01,9,0,0.6017245611766492
01,9,1,0.8417980676576925
01,9,2,0.4615541723290598
01,9,3,0.37895404110479863
01,9,4,0.4439939501461665
01,9,5,0.031995097162006346
01,9,6,0.00022854141901760769
