s,time_index,shell_index,compared_output
09,0,0,2.3830672165300633
09,0,1,0.6605143756521336
09,0,2,0.0684054223432615
09,0,3,0.00323190335893822
09,0,4,7.507778747858858e-05
09,0,5,5.930866195332589e-06
09,0,6,3.6282944805301778e-06
alpha,6,0,4.790278277959965
alpha,6,1,7.530002166207409
alpha,6,2,2.146145631730157
alpha,6,3,4.151145137767759
alpha,6,4,4.948282040075676
alpha,6,5,0.9422819940026318
alpha,6,6,0.001765875307923931
01,9,0,2.1974137309206054
01,9,1,3.1920604988267924
01,9,2,1.6035791158786992
01,9,3,1.8507941501475071
01,9,4,1.8546147267072426
01,9,5,0.2593187926541642
01,9,6,0.0007318680360939696
