s,time_index,shell_index,compared_output
09,0,0,2.4315166369169763
09,0,1,0.34659563396145154
09,0,2,0.06228051652192794
09,0,3,0.0018858759343927055
09,0,4,9.935944823720307e-05
09,0,5,3.070095508832337e-06
09,0,6,2.7909958566271007e-06
alpha,6,0,4.055442262183884
alpha,6,1,7.00671304901533
alpha,6,2,2.513523632212956
alpha,6,3,4.14399833104592
alpha,6,4,4.9486392029595665
alpha,6,5,0.8837937486622524
alpha,6,6,0.0015731298279299244
01,9,0,2.181357520013626
01,9,1,2.7004857096616397
01,9,2,1.3961581171946555
01,9,3,1.9389185095205277
01,9,4,1.8693102777328214
01,9,5,0.2531890039769638
01,9,6,0.0005883311939716585
