s,time_index,shell_index,compared_output
09,0,0,1.121519820047751
09,0,1,0.0915148026221685
09,0,2,0.014400143122267527
09,0,3,0.0005902956236766318
09,0,4,1.8141473068076155e-05
09,0,5,3.6282944805301778e-06
09,0,6,3.349195161037574e-06
alpha,6,0,0.7873896949054634
alpha,6,1,1.2403923345553445
alpha,6,2,0.49969172519739297
alpha,6,3,0.9454509676662086
alpha,6,4,1.2146966912778887
alpha,6,5,0.1211649474021998
alpha,6,6,0.0008771301273946286
01,9,0,0.5356389009614179
01,9,1,0.9799392453770296
01,9,2,0.39131098420307064
01,9,3,0.47628441352664735
01,9,4,0.5262531663869274
01,9,5,0.03912396524157282
01,9,6,0.00022057873818320727
