s,time_index,shell_index,compared_output
09,0,0,2.3323743587861454
09,0,1,0.40240661118539034
09,0,2,0.04965097681017362
09,0,3,0.0027175926996675817
09,0,4,8.149708114287219e-05
09,0,5,3.907394132735415e-06
09,0,6,3.907394132735415e-06
alpha,6,0,4.63240583047275
alpha,6,1,7.470720870850223
alpha,6,2,2.463856535767814
alpha,6,3,4.336016453626158
alpha,6,4,5.059264840698578
alpha,6,5,0.9665722965108832
alpha,6,6,0.0013672208416048912
01,9,0,2.1421065966924706
01,9,1,2.771616443936085
01,9,2,1.5958083977521456
01,9,3,1.998689953817273
01,9,4,1.9624703970477968
01,9,5,0.2805850701105803
01,9,6,0.0006590085116916886
